Sentiment,Count,
Positive,7,
Neutral,1,
Negative,2,
,,
Average post sentiment: Positive (70%),,
,,
,,
TOP 3 POSTS,,
Post,Engagement,Sentiment
"Don’t spend another year doing the same shit.

Waiting.
Postponing.
Telling yourself you’ll do it later.

Later rarely comes.

Later turns into another year in a job you hate.
Another year talking about starting a business.
Another year being good at what you do and invisible because of it.

""Let the results speak for themselves""

Being quiet gets you nowhere.

Working hard in silence doesn't get you recognition.
It gets you more work.

If you want change, you have to speak up.

You have to promote yourself.
You have to be intentional about your personal brand.

IRL and online.

This is not optional anymore.

The people who move ahead are rarely the best.

They are the ones who show up, share what they know, and stop waiting for permission.

If something feels off in your career, trust that signal.

If you want more, ACT like it.

Start now.


Pic credit: tl_archives on IG

📌 Hi, I'm Hanna, I teach people how to build profitable online businesses through their personal brand. Reach out to me, don't be shy 👋 Talk soon.",1415,Positive
"📌 My name is Steve Muikia, the original innovator behind PesaLink. I developed # Pesalink which was later snatched from me by Kenya Bankers Association 

Most of you know the long, painful journey I have been on pursuing #PesaLinkJustice.

Here is the link to the whole #PesalinkTheft ordeal (https://lnkd.in/dWqJVvH4)

The fight drained me financially.
My other innovations have stalled due to a serious liquidity crunch.

I’ve reached a point where silence is no longer an option.

I never thought I’d reach a point of posting this, but I can’t keep quiet anymore.

If anyone can bail me out, support, or connect me to an opportunity, I would be grateful.
Even the hustles I’ve tried on the ground have refused to work.

🤦🏾‍♂️ Mtu aokolee jahazi jameni.-Wue… ni noma jameni

My Number is 0720 380 777 if you want to get me

To Paul Russo GMD KCB Bank Group and Chairman Kenya Bankers Association - Sir, kindly be fair. I pitched to you a Lucrative value Product as advised by Matu Mugo from Central Bank of Kenya . My Brainchild is now a trillion worth Bank to Bank Service.
Let us resolve this Decade long matter amicably and Professionally",520,Negative
"POV: Audiobooks ⭐

Our mission is to make Spotify the ultimate home for all things audio. With that in mind, it goes without saying that we're over the moon about the expansion of our audiobook library in the Nordics. We now offer more than 300,000 titles to our Premium listeners. 

To celebrate, we recently hosted a launch event in Stockholm. Come along and see how it all unfolded! 💚

#lifeatspotify",157,Positive
